BVG	CCG	ELG	GGG	LDG	NBG	NRG
NOTCH1	CDH1	SFRS1	FGFBP1	MSH6	EIF4A2	SDHAF2
NOTCH2	CDH11	SFRS7	FGFR2	MYC	ELF3	SDHB
NPM1	CDK12	SLIT2	FGFR3	MYCL1	EP300	SDHC
NRAS	CDK4	SMAD2	FLG	MYCN	ERBB2	SDHD
PAX5	CDK6	SMAD4	FLT3	MYD88	ERBB2IP	SERPINA1
PBRM1	CDKN2A	SMARCA1	FOXA1	NCOA3	ERCC2	SH2D1A
PDGFRA	CDKN2a(p14)	SMARCA4	FOXQ1	NCOR1	ESR1	SLC25A13
PHF6	CDKN2C	SOX2	FRMD7	NF1	EWSR1	SMAD4
PIK3CA	CDX2	SOX9	GATA3	NF2	EZH2	SMARCA4
PIK3R1	CEBPA	SPOP	GNA13	NFE2L2	FANCA	SMARCB1
PPP2R1A	CEP1	SRSF2	GNB1	NKX2-1	FBN2	SMARCE1
PRDM1	CHCHD7	STK11	GNPTAB	NOTCH1	FBXO11	SOS1
PTCH1	CHEK2	TERT	GOT1	NOTCH2	FBXW7	SRY
PTEN	CHIC2	TET2	GPS2	NPM1	FES	STAT3
PTPN11	CHN1	TGFBR2	GUSB	NRAS	FGFR2	STK11
RB1	CIC	TP53	HIST1H1E	PAX5	FGFR3	SUFU
RET	CIITA	TSC1	HIST1H3B	PBRM1	FLT3	TERT
RNF43	CLTC	TSC2	HIST1H4E	PDGFRA	FN1	TGFBR1
RUNX1	CLTCL1	U2AF1	HLA-A	PHF6	FOXA1	TMEM127
SETD2	CMKOR1	U2AF2	HLA-B	PIK3CA	FOXA2	TNFRSF6 
SETBP1	CNOT3	UTX	HRAS	PIK3R1	FRG1B	TP53
SF3B1	COL1A1	WWP1	HSP90AB1	PPP2R1A	GATA3	TRIM37 
SMAD2	COPEB	XBP1	IDH1	PRDM1	GNAI1	TSC1
SMAD4	COX6C	ZRSR2	IDH2	PTCH1	GNAS	TSC2
SMARCA4	CREB1		IL7R	PTEN	GOLGA5	UROD
SMARCB1	CREB3L1		ING1	PTPN11	GOT2	VHL
SMO	CREB3L2		INPPL1	RB1	GPHN	WAS
SOCS1	CREBBP		INTS12	RET	GPS2	WRN
SOX9	CRLF2		IPO7	RNF43	GTF2H1	WT1
SPOP	CRTC3		IRF4	ROS1	H3F3C	XPA
SRSF2	CSF3R		IRF6	RUNX1	HGF	XPC
STAG2	CTNNB1		ITGB7	SETD2	HLA-A	
STK11	CYLD		ITPKB	SF3B1	HLA-B	
TET2	D10S170		KDM5C	SKP2	HMGXB4	
TNFAIP3	DAXX		KDM6A	SMAD2	HRAS	
TRAF7	DDB2		KEAP1	SMAD4	HSP90AB1	
TP53	DDIT3		KEL	SMARCA4	HSPA8	
TSC1	DDX10		KIT	SMARCB1	HUWE1	
TSHR	DDX5		KLHL8	SMO	IDH1	
U2AF1	DDX6		KRAS	SOCS1	IDH2	
VHL	DEK		LCTL	SOX9	IRS2	
WT1	DICER1		MAP2K1	SPOP	ITGA6	
	DNM2		MAP2K4	STAG2	JAK2	
	DNMT3A		MAP3K1	STK11	KALRN	
	DUX4		MAP4K3	TCF7L1	KDM5C	
	EBF1		MBD1	TCF7L2	KDM6A	
	ECT2L		MED12	TET2	KEAP1	
	EGFR		MED23	TNFAIP3	KIAA1109	
	EIF4A2		MET	TP53	KIFC3	
	ELF4		MGA	TSC1	KIT	
	ELK4		MICALCL	TSHR	KRAS	
	ELKS		MLL	U2AF1	LCP1	
	ELL		MLL2	VHL	LEPR	
	ELN		MLL3	WT1	LIFR	
	EML4		MLL4		LPP	
	EP300		MORC4		LRRK2	
	EPS15		MPO		LUM	
	ERBB2		MTOR		LYN	
	ERCC2		MUC17		LZTR1	
	ERCC3		MXRA5		MALAT1	
	ERCC4		MYB		MAP2K4	
	ERCC5		MYCN		MAP3K1	
	ERG		MYD88		MAP3K3	
	ETV1		MYOCD		MAP3K4	
